Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,509.2186613,519.8847731,493.7504181,507.1034319,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4124.055726,4531.020806,5284.380184,5353.244856,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3945.482081,4111.29411,4153.733978,3973.964072,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11696.95556,10823.4448,11466.69071,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37474.66541,38962.88035,41793.05526,40886.39116,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3506.072885,4095.812942,3289.646664,2790.726615,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,15197.61746,15383.41519,16672.74424,17112.82113,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12790.24247,14613.04182,11633.49801,9912.281809,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3591.829276,3914.501268,4220.490277,4622.733493,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,28281.35048,29007.693,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49971.13146,54027.96682,57354.96405,55060.3261,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,45276.83144,47426.51196,51478.28526,50137.66278,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,3880.738731,4147.089716,4739.84171,4793.58702,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,31562.63974,32718.6381,33767.50337,34863.7421,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22608.48428,23742.98502,23991.05668,23503.97713,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1401.620628,1563.913699,1698.350394,1855.739824,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16900.16655,17391.42587,17745.19346,18148.24493,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5022.626643,5761.74712,6330.075246,6663.295293,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,41984.10303,44192.62303,47583.07494,46420.66377,..
