Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Afghanistan,AFG,65.275,65.656,66.026,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Albania,ALB,80.134,80.148,80.167,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Algeria,DZA,77.524,77.735,77.938,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,American Samoa,ASM,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Andorra,AND,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Angola,AGO,62.783,63.252,63.666,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Antigua and Barbuda,ATG,77.766,77.871,77.983,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Argentina,ARG,79.583,79.726,79.863,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Armenia,ARM,77.949,78.165,78.354,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Aruba,ABW,78.237,78.372,78.507,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Australia,AUS,84.6,84.6,84.9,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Austria,AUT,84.1,84,84.1,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Azerbaijan,AZE,75.088,75.215,75.336,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Bahamas, The",BHS,75.509,75.718,75.911,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bahrain,BHR,77.997,78.143,78.285,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bangladesh,BGD,73.655,73.978,74.291,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Barbados,BRB,80.227,80.307,80.392,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belarus,BLR,79,79.2,79.4,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belgium,BEL,84,83.9,83.9,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belize,BLZ,77.199,77.453,77.666,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Benin,BEN,62.379,62.687,63.003,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bermuda,BMU,85.13,85.35,85.57,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bhutan,BTN,71.06,71.444,71.816,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bolivia,BOL,73.512,73.878,74.209,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bosnia and Herzegovina,BIH,79.439,79.581,79.72,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Botswana,BWA,70.893,71.559,72.049,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brazil,BRA,78.934,79.156,79.362,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,British Virgin Islands,VGB,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brunei Darussalam,BRN,76.681,76.819,76.96,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bulgaria,BGR,78.5,78.4,78.6,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Burkina Faso,BFA,60.988,61.43,61.863,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Burundi,BDI,62.301,62.675,63.031,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cabo Verde,CPV,75.616,75.812,76.007,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cambodia,KHM,70.975,71.318,71.629,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cameroon,CMR,59.367,59.795,60.192,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Canada,CAN,84,84.1,84.1,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cayman Islands,CYM,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Central African Republic,CAF,53.614,54.354,54.991,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Chad,TCD,54.856,55.132,55.4,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Channel Islands,CHI,84.553,84.677,84.798,..,..
