country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,56069,2462.0,49664.0,3943.0,1097.0,1418,62.0,328252.0,8300.0,39547320
Albania,Europe,119528,2106.0,83264.0,34158.0,46.0,41567,732.0,518673.0,180373.0,2875555
Algeria,Africa,115842,3051.0,80347.0,32444.0,15.0,2608,69.0,,,44411333
Andorra,Europe,11393,113.0,10904.0,376.0,12.0,147286,1461.0,193595.0,2502747.0,77353
Angola,Africa,21558,522.0,20032.0,1004.0,17.0,642,16.0,408034.0,12149.0,33584949
Anguilla,North America,21,,18.0,3.0,,1391,,11052.0,732017.0,15098
Antigua And Barbuda,North America,1008,27.0,598.0,383.0,45.0,10233,274.0,16075.0,163190.0,98505
Argentina,South America,2226753,54386.0,2009877.0,162490.0,3522.0,48950,1196.0,8189797.0,180033.0,45490458
Armenia,Asia,182056,3320.0,167518.0,11218.0,,61356,1119.0,793678.0,267485.0,2967191
Aruba,North America,8624,81.0,8164.0,379.0,8.0,80531,756.0,116012.0,1083323.0,107089
Australia,Australia/Oceania,29181,909.0,26236.0,2036.0,,1135,35.0,15111521.0,587771.0,25709879
Austria,Europe,504581,8982.0,465984.0,29615.0,386.0,55798,993.0,6172921.0,682621.0,9042968
Azerbaijan,Asia,243424,3314.0,231894.0,8216.0,,23855,325.0,2746681.0,269174.0,10204118
Bahamas,North America,8800,186.0,7676.0,938.0,3.0,22227,470.0,72346.0,182732.0,395913
Bahrain,Asia,133779,491.0,126703.0,6585.0,57.0,76749,282.0,3368947.0,1932762.0,1743074
Bangladesh,Asia,564939,8624.0,517223.0,39092.0,,3406,52.0,4349194.0,26223.0,165854811
Barbados,North America,3492,39.0,3285.0,168.0,,12141,136.0,135021.0,469433.0,287626
Belarus,Europe,306524,2130.0,297502.0,6892.0,,32446,225.0,5159848.0,546183.0,9447106
Belgium,Europe,822801,22624.0,55125.0,745052.0,534.0,70775,1946.0,10325566.0,888180.0,11625538
Belize,North America,12399,316.0,12024.0,59.0,,30787,785.0,92709.0,230199.0,402735
Benin,Africa,6501,81.0,5552.0,868.0,35.0,527,7.0,520466.0,42153.0,12346976
Bermuda,North America,740,12.0,699.0,29.0,,11914,193.0,182725.0,2941768.0,62114
Bhutan,Asia,868,1.0,867.0,0.0,,1116,1.0,570591.0,733747.0,777640
Bolivia,South America,262941,12028.0,209842.0,41071.0,71.0,22310,1021.0,831727.0,70569.0,11785928
Bosnia And Herzegovina,Europe,149891,5729.0,122680.0,21482.0,,45891,1754.0,733032.0,224428.0,3266227
Botswana,Africa,35493,458.0,31128.0,3907.0,1.0,14881,192.0,889158.0,372783.0,2385189
Brazil,South America,11787600,287795.0,10339432.0,1160373.0,8318.0,55177,1347.0,28600000.0,133874.0,213634020
British Virgin Islands,North America,153,1.0,131.0,21.0,,5037,33.0,13223.0,435339.0,30374
Brunei Darussalam,Asia,203,3.0,186.0,14.0,,461,7.0,110758.0,251463.0,440455
Bulgaria,Europe,295777,11817.0,232041.0,51919.0,670.0,42798,1710.0,1915561.0,277175.0,6911025
Burkina Faso,Africa,12450,145.0,11998.0,307.0,,584,7.0,,,21306956
Burundi,Africa,2542,3.0,773.0,1766.0,,209,,90019.0,7415.0,12139899
Cabo Verde,Africa,16298,158.0,15646.0,494.0,23.0,29089,282.0,125300.0,223640.0,560275
Cambodia,Asia,1578,1.0,917.0,660.0,,93,,555192.0,32885.0,16883020
Cameroon,Africa,40622,601.0,35261.0,4760.0,53.0,1504,22.0,905000.0,33504.0,27011838
Canada,North America,922848,22590.0,870978.0,29280.0,587.0,24300,595.0,26250445.0,691214.0,37977330
Caribbean Netherlands,North America,945,6.0,580.0,359.0,,35801,227.0,8297.0,314328.0,26396
Cayman Islands,North America,475,2.0,442.0,31.0,,7168,30.0,78611.0,1186223.0,66270
Central African Republic,Africa,5075,64.0,4938.0,73.0,2.0,1038,13.0,37104.0,7589.0,4889204
Chad,Africa,4380,157.0,3864.0,359.0,,261,9.0,,,16757603
Channel Islands,Europe,4045,86.0,3965.0,-6.0,1.0,23114,491.0,399901.0,2285122.0,175002
Chile,South America,911469,21988.0,854827.0,34654.0,2152.0,47391,1143.0,10343273.0,537793.0,19232828
China Hong Kong Sar,Asia,11351,203.0,10824.0,324.0,10.0,1505,27.0,9296529.0,1232926.0,7540219
China Macao Sar,Asia,48,,47.0,1.0,,73,,4369.0,6664.0,655612
China,Asia,90083,4636.0,85283.0,164.0,,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2319293,61636.0,2216945.0,40712.0,1982.0,45239,1202.0,12142887.0,236851.0,51267993
Comoros,Africa,3657,146.0,3465.0,46.0,,4143,165.0,,,882687
Congo,Africa,9564,134.0,7514.0,1916.0,,1704,24.0,92500.0,16477.0,5613879
Costa Rica,North America,210447,2886.0,189682.0,17879.0,130.0,41045,563.0,743550.0,145021.0,5127171
